SID,Name,Family,Email,Group
991230,Ali,Mohammadi,Ali.Mohammadi@univ.edu,A
991231,Maryam,Hoseyni,Maryam.Hoseyni@univ.edu,B
991232,Reza,Rezaee,Reza.Rezaee@univ.edu,A
991233,Negin,Akbari,Negin.Akbari@univ.edu,B
991234,Ahmad,Tavakoli,Ahmad.Tavakoli@univ.edu,B
991235,Javad,GHaemi,Javad.GHaemi@univ.edu,B
991236,Saeed,Sajadi,Saeed.Sajadi@univ.edu,C
991237,Bahman,Saremi,Bahman.Saremi@univ.edu,C
991238,Kamran,Majidi,Kamran.Majidi@univ.edu,C
991239,Ashkan,Abedi,Ashkan.Abedi@univ.edu,D
991240,Marjan,Chahardovali,Marjan.Chahardovali@univ.edu,D
991241,Marziyeh,Farahani,Marziyeh.Farahani@univ.edu,D
991242,Sahar,Saeedi,Sahar.Saeedi@univ.edu,D
991243,Masood,Aghaee,Masood.Aghaee@univ.edu,A
991244,Mostafa,Ghorbani,Mostafa.Ghorbani@univ.edu,C
991245,Soheyla,Mirzaee,Soheyla.Mirzaee@univ.edu,E
991246,MohammadReza,Sadeghi,MohammadReza.Sadeghi@univ.edu,E
991247,AliReza,Javadi,AliReza.Javadi@univ.edu,E
991248,AmirAli,Godarzi,AmirAli.Godarzi@univ.edu,E
991249,MohammadJavad,Rahimi,MohammadJavad.Rahimi@univ.edu,A
