SID,Name,Family,Quiz1_Score
991230,Ali,Mohammadi,10
991231,Maryam,Hoseyni,8
991232,Reza,Rezaee
991233,Negin,Akbari,7
991234,Ahmad,Tavakoli,10
991235,Javad,GHaemi,9
991236,Saeed,Sajadi,5
991237,Bahman,Saremi,9
991238,Kamran,Majidi,4
991239,Ashkan,Abedi
991240,Marjan,Chahardovali,8
991241,Marziyeh,Farahani,10
991242,Sahar,Saeedi,7
991243,Masood,Aghaee,4
991244,Mostafa,Ghorbani
991245,Soheyla,Mirzaee,7
991246,MohammadReza,Sadeghi,10
991247,AliReza,Javadi,9
991248,AmirAli,Godarzi,10
991249,MohammadJavad,Rahimi,8
